"Prebivalstvo, staro 15 ali veè let po: STATISTIÈNA REGIJA, STAROST,"
"ZAKONSKI STAN, LETO , SPOL"

" ";" ";"Razvezani";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" ";"2018";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";3;0;3;3;0;3;2;0;2;2;0;2;4;0;4;2;0;2;1;0;1;1;0;1
" ";"25-29 let";29;6;23;28;6;22;25;9;16;23;6;17;23;7;16;24;5;19;29;7;22;31;7;24
" ";"30-34 let";123;39;84;114;38;76;111;37;74;105;40;65;97;36;61;89;40;49;84;37;47;67;26;41
" ";"35-39 let";250;99;151;246;92;154;243;87;156;236;77;159;241;87;154;237;89;148;215;81;134;207;87;120
" ";"40-44 let";377;156;221;363;152;211;361;154;207;360;155;205;368;155;213;380;155;225;370;150;220;368;152;216
" ";"45-49 let";508;242;266;502;241;261;521;235;286;510;212;298;530;218;312;492;210;282;492;216;276;469;197;272
" ";"50-54 let";490;226;264;514;229;285;530;253;277;551;264;287;600;294;306;609;293;316;609;288;321;624;284;340
" ";"55-59 let";491;233;258;506;248;258;520;245;275;526;248;278;568;259;309;585;267;318;600;273;327;606;282;324
" ";"60-64 let";371;183;188;396;196;200;402;199;203;446;222;224;530;266;264;530;253;277;544;255;289;546;242;304
" ";"65-69 let";166;71;95;195;83;112;249;111;138;267;117;150;321;136;185;382;171;211;402;184;218;421;199;222
" ";"70-74 let";135;48;87;135;49;86;147;57;90;151;61;90;160;60;100;166;65;101;200;79;121;242;94;148
" ";"75-79 let";127;34;93;120;35;85;105;30;75;107;32;75;130;48;82;133;51;82;138;52;86;147;57;90
" ";"80-84 let";69;12;57;81;17;64;84;18;66;92;23;69;110;25;85;98;21;77;92;20;72;88;17;71
" ";"85-89 let";39;11;28;36;10;26;42;9;33;41;4;37;41;3;38;49;4;45;46;5;41;50;6;44
" ";"90-94 let";8;1;7;10;0;10;11;1;10;15;4;11;14;2;12;13;2;11;16;1;15;15;2;13
" ";"95-99 let";2;0;2;1;0;1;2;0;2;1;0;1;1;0;1;1;0;1;2;0;2;1;0;1
" ";"100 + let";0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;1
"Jugovzhodna Slovenija"
" ";"Starost - SKUPAJ";6392;2855;3537;6482;2897;3585;6664;2987;3677;6772;3037;3735;6909;3111;3798;7044;3164;3880;7156;3214;3942;7244;3250;3994
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";5;0;5;5;1;4;4;2;2;3;1;2;3;1;2;4;1;3;9;2;7;9;3;6
" ";"25-29 let";61;21;40;66;23;43;66;18;48;55;16;39;50;14;36;47;17;30;46;16;30;39;13;26
" ";"30-34 let";234;88;146;212;80;132;229;95;134;224;87;137;207;80;127;200;71;129;156;52;104;147;58;89
" ";"35-39 let";520;220;300;481;207;274;465;201;264;455;197;258;469;202;267;436;184;252;442;199;243;418;183;235
" ";"40-44 let";754;348;406;724;333;391;712;327;385;681;322;359;661;319;342;676;316;360;660;299;361;642;288;354
" ";"45-49 let";1021;481;540;1010;473;537;1028;488;540;996;473;523;964;446;518;913;423;490;897;414;483;853;392;461
" ";"50-54 let";1044;497;547;1033;493;540;1041;496;545;1072;495;577;1153;547;606;1207;586;621;1179;570;609;1170;553;617
" ";"55-59 let";996;481;515;1072;510;562;1117;526;591;1131;541;590;1082;529;553;1064;512;552;1092;532;560;1107;540;567
" ";"60-64 let";663;330;333;722;361;361;784;391;393;862;427;435;957;457;500;998;468;530;1073;493;580;1109;510;599
" ";"65-69 let";345;154;191;363;164;199;403;179;224;434;201;233;503;237;266;618;298;320;688;325;363;772;364;408
" ";"70-74 let";310;129;181;325;134;191;340;148;192;358;143;215;330;133;197;322;134;188;339;149;190;370;161;209
" ";"75-79 let";215;63;152;207;72;135;200;65;135;211;79;132;245;88;157;264;94;170;272;95;177;289;111;178
" ";"80-84 let";155;32;123;171;33;138;175;37;138;170;37;133;167;41;126;163;44;119;155;51;104;153;47;106
" ";"85-89 let";57;11;46;75;13;62;82;13;69;96;16;80;90;14;76;95;10;85;103;11;92;115;19;96
" ";"90-94 let";11;0;11;15;0;15;16;1;15;22;2;20;25;3;22;34;6;28;41;6;35;46;8;38
" ";"95-99 let";1;0;1;0;0;0;2;0;2;2;0;2;3;0;3;3;0;3;4;0;4;4;0;4
" ";"100 + let";0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Osrednjeslovenska"
" ";"Starost - SKUPAJ";32410;12986;19424;32894;13084;19810;33367;13180;20187;33848;13374;20474;33721;13322;20399;34230;13549;20681;34881;13823;21058;34964;13793;21171
" ";"15-19 let";0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
" ";"20-24 let";39;8;31;44;15;29;40;11;29;34;6;28;28;8;20;34;11;23;24;10;14;33;11;22
" ";"25-29 let";220;69;151;231;79;152;242;79;163;264;89;175;257;74;183;249;79;170;242;79;163;224;70;154
" ";"30-34 let";906;319;587;871;311;560;870;314;556;794;269;525;745;261;484;714;268;446;726;280;446;692;244;448
" ";"35-39 let";2013;790;1223;1956;745;1211;1903;715;1188;1875;727;1148;1803;695;1108;1721;669;1052;1721;643;1078;1631;637;994
" ";"40-44 let";3399;1461;1938;3202;1344;1858;3142;1324;1818;3064;1247;1817;2947;1206;1741;2960;1173;1787;2861;1135;1726;2730;1066;1664
" ";"45-49 let";4424;1935;2489;4468;1935;2533;4423;1865;2558;4403;1868;2535;4270;1816;2454;4151;1775;2376;4039;1714;2325;3933;1676;2257
" ";"50-54 let";4785;2012;2773;4771;2007;2764;4794;2018;2776;4845;2072;2773;4845;2064;2781;4937;2132;2805;5021;2165;2856;5001;2141;2860
" ";"55-59 let";5484;2404;3080;5460;2357;3103;5298;2243;3055;5196;2141;3055;4941;2050;2891;4842;1999;2843;4922;2046;2876;4960;2066;2894
" ";"60-64 let";4294;1865;2429;4611;2008;2603;4897;2119;2778;5137;2227;2910;5161;2184;2977;5172;2167;3005;5144;2160;2984;5069;2103;2966
" ";"65-69 let";2264;924;1340;2501;984;1517;2755;1107;1648;3030;1237;1793;3394;1387;2007;3985;1630;2355;4340;1802;2538;4537;1879;2658
" ";"70-74 let";1909;648;1261;1945;694;1251;2016;707;1309;2091;751;1340;2085;789;1296;2047;800;1247;2235;836;1399;2432;907;1525
" ";"75-79 let";1243;323;920;1339;362;977;1382;395;987;1456;434;1022;1535;465;1070;1605;488;1117;1679;565;1114;1740;581;1159
" ";"80-84 let";862;149;713;904;163;741;953;195;758;957;202;755;961;217;744;974;236;738;1040;260;780;1065;270;795
" ";"85-89 let";438;63;375;454;69;385;482;69;413;507;83;424;544;81;463;581;88;493;612;97;515;626;107;519
" ";"90-94 let";102;13;89;112;9;103;148;16;132;167;18;149;172;21;151;221;32;189;230;28;202;235;28;207
" ";"95-99 let";24;3;21;21;2;19;17;2;15;24;1;23;29;3;26;32;1;31;38;2;36;51;6;45
" ";"100 + let";4;0;4;4;0;4;4;0;4;3;1;2;4;1;3;5;1;4;7;1;6;5;1;4
"Gorenjska"
" ";"Starost - SKUPAJ";11560;4772;6788;11809;4877;6932;11931;4930;7001;12072;5004;7068;12220;5071;7149;12370;5149;7221;12536;5244;7292;12693;5308;7385
" ";"15-19 let";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
" ";"20-24 let";17;3;14;11;1;10;6;2;4;7;3;4;8;2;6;7;1;6;7;3;4;10;2;8
" ";"25-29 let";105;38;67;94;30;64;86;28;58;80;22;58;75;19;56;77;18;59;76;25;51;73;24;49
" ";"30-34 let";360;117;243;322;108;214;295;90;205;289;95;194;264;91;173;254;107;147;242;93;149;217;87;130
" ";"35-39 let";815;331;484;776;305;471;734;297;437;666;262;404;636;237;399;601;195;406;547;201;346;548;200;348
" ";"40-44 let";1294;564;730;1221;528;693;1160;495;665;1124;484;640;1091;449;642;1078;465;613;1073;455;618;1051;441;610
" ";"45-49 let";1684;739;945;1757;765;992;1748;772;976;1692;744;948;1659;738;921;1568;696;872;1488;655;833;1437;614;823
" ";"50-54 let";1804;808;996;1816;810;1006;1816;802;1014;1862;827;1035;1869;823;1046;1889;845;1044;1938;866;1072;1918;873;1045
" ";"55-59 let";1843;854;989;1885;864;1021;1883;856;1027;1862;842;1020;1879;859;1020;1867;842;1025;1888;843;1045;1925;860;1065
" ";"60-64 let";1290;556;734;1458;646;812;1593;714;879;1716;777;939;1786;811;975;1838;845;993;1875;864;1011;1845;834;1011
" ";"65-69 let";828;332;496;868;352;516;919;365;554;961;376;585;1078;448;630;1259;527;732;1375;590;785;1529;678;851
" ";"70-74 let";617;239;378;637;250;387;682;261;421;753;296;457;782;297;485;771;291;480;806;307;499;852;320;532
